Vehicle ID,Vehicle Damage Extent,Vehicle Body Type,Vehicle Year,Vehicle Make,Vehicle Model
7216D7C5-FC1E-43C2-9520-77B0154928EF,FUNCTIONAL,(SPORT) UTILITY VEHICLE,2017,INFINITI,QX50
A9D68218-6325-4474-A5FA-48F3D6EE3E9F,FUNCTIONAL,PASSENGER CAR,2022,CHEVROLET,SPARK
F91A62EF-6F3A-4E25-9C22-B5D189CF465D,FUNCTIONAL,VAN,2001,GMC,SAVANNA
EF6F42A8-33CE-4A42-BE7A-A0F68E00FA54,SUPERFICIAL,TRANSIT BUS,2011,GILLIG,LOW FLOOR BUS
65DF9891-C659-46D6-9A2D-D1CC05B238D8,N/A,,0,UNKNOWN,UNKNOWN
A096AC2A-B5C4-4FA5-BA55-68630B79F9DE,SUPERFICIAL,VAN,2021,DODGE,RAM PROMASTER
EBA30B55-D2F4-48FE-91EE-9878E9A4CC71,SUPERFICIAL,TRANSIT BUS,2012,GILLIG,BUS
DD9F1226-C30C-436B-B5F8-5E5DF3CF5AFD,SUPERFICIAL,PASSENGER CAR,2011,CHEVY,4DOOR
0A4EAE4F-4003-4D43-AAEF-C18F0694C645,SUPERFICIAL,POLICE VEHICLE/NON EMERGENCY,2019,FORD,EXPLORER
51A8FD69-A820-4E48-9B7A-7870DED1C020,DISABLING,(SPORT) UTILITY VEHICLE,2014,TOYOTA,RAV4
CD0C8209-3F16-462E-B9DB-BA8ED1C45847,SUPERFICIAL,PASSENGER CAR,2013,TOYOTA,COROLLA
88D02E4B-93BC-48D9-9B44-B4381939B800,FUNCTIONAL,PASSENGER CAR,2014,TOYOTA,CAMRRY
B17BEA19-74A8-4E7B-B56D-21932E20D12F,DISABLING,VAN,2019,FORD,VN
19EA59FA-F8B2-4EC7-87BF-BEB73199D932,DISABLING,PASSENGER CAR,2020,KIA,RIO
B9A23D18-E741-41C7-B0D9-297D12B5955F,SUPERFICIAL,PASSENGER CAR,2024,SUBA,UT
ABB00550-C676-4662-AF43-1572684283C5,DISABLING,PASSENGER CAR,2015,CHEVY,SUV
3FC6CC88-DDFD-410F-90C6-92EA6597F710,DISABLING,PASSENGER CAR,2022,TOYOTA,CAMRY
BB80C51E-6D89-4F33-BBAF-8D614F13486D,UNKNOWN,PASSENGER CAR,2023,HYUNDAI,UNK
692AC198-A482-479C-BCCD-D18B2373853B,DISABLING,PASSENGER CAR,2020,NISS,SUV
E1043ED6-2436-461C-B834-7017B9E4F4BD,DISABLING,PASSENGER CAR,2020,LEXU,4D SEDAN
9A4396BC-09B4-49D2-8872-44629FDACDB4,DESTROYED,PASSENGER CAR,2016,FORD,EXPEDITION
3C7DAC71-1988-486D-9AD7-2B11BD61AD1E,NO DAMAGE,(SPORT) UTILITY VEHICLE,2008,ACURA,MDX
633BAC01-DC41-4575-908F-3236137C3F94,DISABLING,PASSENGER CAR,2008,TOYOTA,PRIUS
94BF6D54-65A5-49BB-8236-029B7FEEAB1E,DESTROYED,PASSENGER CAR,2017,TOYOTA,CAMRY
F96BA71C-1319-4B70-A0FB-E1F693D2A0C8,DISABLING,PASSENGER CAR,2012,SUBA,SW
B8ECF106-155D-4E66-8B82-1E2CCE012CBC,SUPERFICIAL,PASSENGER CAR,2000,TOYOTA,CAMRY
2A50DEFB-3E75-4114-9CA9-D87F994C6484,SUPERFICIAL,PASSENGER CAR,2011,HONDA,CIVIC
452B740C-8638-49A7-B01E-AC96C8A2AA14,FUNCTIONAL,(SPORT) UTILITY VEHICLE,2011,TOYT,HIGHLANDER
311DFC91-D04D-4C03-AF91-77EE00E43367,DISABLING,PASSENGER CAR,2018,TOYOTA,COROLLA
6130BAE0-9B63-4D96-9758-29C134E58935,FUNCTIONAL,(SPORT) UTILITY VEHICLE,2017,FORD,EDGE
F2ED3532-B087-450D-9BDA-D9E5B58B829C,DISABLING,(SPORT) UTILITY VEHICLE,2013,HONDA,CRV
71A683FC-2C77-4881-80D8-02E6D8A780D1,DESTROYED,(SPORT) UTILITY VEHICLE,2017,FORD,EDGE
ECA5DF63-3DFA-407B-B105-A320C4BAE4BA,SUPERFICIAL,PASSENGER CAR,2014,BUICK,VERANO
D4E7A33C-59B2-47DB-8036-37A9863D61CF,SUPERFICIAL,PASSENGER CAR,2019,NISS,KICK
40EABA96-C456-438C-91EC-9192A64475C6,FUNCTIONAL,PASSENGER CAR,2015,HOND,TK
64FCCFEE-95CA-438D-AA87-FC66E2CE4DC2,DISABLING,PASSENGER CAR,2016,SCION,FRX
604A82DD-4A06-4F6D-8F2C-5EB6538DB98C,DISABLING,PASSENGER CAR,2008,ACURA,RL
01A9E419-C986-43B4-A0A4-92327AF7417B,FUNCTIONAL,OTHER,2022,TOYT,UT
E27CAB1E-D67D-4B42-B3B9-02E186894642,FUNCTIONAL,PASSENGER CAR,2016,BUIC,UT
01E2FE28-1351-4C10-A92D-9305F584A777,FUNCTIONAL,POLICE VEHICLE/EMERGENCY,2015,LEXS,4S
6FE105D1-EBEC-4285-9FFC-F34BDF455D53,DISABLING,PASSENGER CAR,2019,VOLK,WG
914FF630-DE2B-4B0F-A755-1B15BCD37575,FUNCTIONAL,PASSENGER CAR,2023,HOND,UT
A22573D9-8A0B-4C6F-8380-88FDC876479F,SUPERFICIAL,PICKUP TRUCK,2019,RAM,TRUCK
32496B01-7050-4F88-8EB2-FB85A685C19A,DISABLING,VAN,2019,RAM,PROMASTER
4FB19619-36FD-4159-80B7-9D51675549E3,SUPERFICIAL,PASSENGER CAR,2014,HYUNDAI,SUV
9E8EEBAD-EA1D-41C2-81CA-9C19D42D19C7,SUPERFICIAL,PASSENGER CAR,2007,LEXUS,ES350
A539BD1B-01DC-42B4-A668-06E7C825EC1E,FUNCTIONAL,PASSENGER CAR,2000,PONTIAC,4 DOOR
84DD04BC-B613-4680-8CC4-19ECE35986BC,FUNCTIONAL,TRANSIT BUS,2016,GILL,BUS
06FA5865-6145-40B0-9CBC-BCD4E3063FCD,FUNCTIONAL,TRANSIT BUS,2013,GILLIG,BUS
54622DC1-1058-4D0F-8C74-2F14448A3D71,FUNCTIONAL,PASSENGER CAR,2002,LEXUS,ES300
BDF682F8-52A3-4151-AE46-70C059DD8777,DISABLING,PASSENGER CAR,2011,KIA,FORTE
01758D19-C795-4C56-A3AB-FA73F6EFF4CE,FUNCTIONAL,PASSENGER CAR,2006,CADILAC,CTS
C033F3E4-493E-4B99-9EFA-D8E3832DFD51,DISABLING,PASSENGER CAR,2019,TOYOTA,CAMRY
6CC70EDC-83E5-4DC7-B08A-EE79CBB33BAD,SUPERFICIAL,"MEDIUM/HEAVY TRUCKS 3 AXLES (OVER 10,000LBS (4,536KG))",2022,CHEVY,SILVERADO
0D71787C-335B-4DAD-A6DD-E61B3C16533D,FUNCTIONAL,PICKUP TRUCK,2020,FORD,PK
94320AEA-CC9C-4CD3-A531-9FBB6EF9B506,DISABLING,PASSENGER CAR,2008,BMW,328
5DFD8FEC-D5F0-476D-ABF9-A6206E6E436D,SUPERFICIAL,VAN,2017,FORD,VAN
639C416F-6A23-4D58-88EA-32FCFF39AC97,UNKNOWN,PASSENGER CAR,2020,TOYOTA,HIGHLANDER
4BA038B5-2978-41E1-BB57-A367AC7547D4,DESTROYED,PASSENGER CAR,2018,HONDA,HR-V
C101710B-5A34-4920-B765-833091BD5F1B,DISABLING,PASSENGER CAR,2013,KIA,SOUL
B7C24664-90BF-4CBD-ADA6-546E13DA74C3,SUPERFICIAL,PASSENGER CAR,2019,DODGE,4S
FC2892E3-6771-4E8C-9E2C-CD09512C03DC,DISABLING,PASSENGER CAR,2002,HONDA,CIVIC
A19B5E89-9C95-439A-9B07-C79BF3AC2FA1,DISABLING,PASSENGER CAR,2016,TOYOTA,CAMRY
9DC6F010-84B0-4003-935A-3EE984E3151E,FUNCTIONAL,PASSENGER CAR,2001,ACURA,TL
26B35216-64AF-470A-A32D-88F3E1515014,DISABLING,PASSENGER CAR,2010,NISSAN,MAXIMA
30F03119-C9C4-4109-ABD7-1DDA6C5CF270,FUNCTIONAL,PASSENGER CAR,2021,FORD,F150
EE21BAA6-8AB3-45BE-BB3D-E0D0EAEB2880,FUNCTIONAL,PASSENGER CAR,2014,TOYT,RAV4
1893E432-E5E5-4A54-B0DF-E934BD9DE926,FUNCTIONAL,PASSENGER CAR,2017,TOYOTA,CAMRY
D3C92088-2F40-4E81-A2F7-4A6F4F0A99D0,FUNCTIONAL,PASSENGER CAR,2005,TOYOTA,COROLLA
82D2CDAB-0710-4DB3-91D3-C7EFCED52249,DISABLING,PASSENGER CAR,1998,FORD,RANGER
B11B2F0B-CD45-4B8F-B85F-3C519D5A0B88,DESTROYED,PASSENGER CAR,2016,HONDA,CIVIC
C3C0E287-3165-4B4A-920F-28A0EF6F2BA4,SUPERFICIAL,TRANSIT BUS,2013,NEWFLYER,XCELSIOR
C97495AA-97A2-4132-8DD8-4DA38FEFEDB2,FUNCTIONAL,PASSENGER CAR,2018,HOND,4S
7741B55D-8E8F-4180-9054-025E4425C30A,FUNCTIONAL,PASSENGER CAR,2007,INFINITI,M35
F10014D0-6422-4F12-B59A-76730DAB7B1C,FUNCTIONAL,PASSENGER CAR,2019,TOYOTA,RAV 4
AFB0B9D4-957A-435A-8C38-009CBC021411,SUPERFICIAL,TRANSIT BUS,2019,GIL,BUS
B0208D5E-B4A1-4D01-BD7C-A19ADDA7FF2D,UNKNOWN,PICKUP TRUCK,2016,FORD,F-150
6870DF08-6B1F-4A72-AD82-37FF16311CBB,SUPERFICIAL,PASSENGER CAR,2012,HYUN,ACCENT
C3D810F2-6335-49F4-91A4-31E6A588A2B3,DESTROYED,PASSENGER CAR,2014,INFINITY,Q50
A07D99F4-EFDC-4B3E-AF8F-DE7E12034DE2,DESTROYED,PASSENGER CAR,2020,HONDA,ACCORD
BA84FAD5-0060-4AB8-9251-C1B08AE77309,DISABLING,PASSENGER CAR,2009,BMW,328I
1C397132-2561-4293-AAFA-F4656AE755A9,DISABLING,PASSENGER CAR,2019,ACURA,TLX
6F6B8B01-2A94-465D-B79F-FD7691FEBCD9,FUNCTIONAL,PASSENGER CAR,2017,TOYT,4S
E0A38FA6-2DFC-41F8-BC66-F2CA85206C69,DESTROYED,PASSENGER CAR,2010,NISSAN,VERSA
197F2C96-689E-411C-8DC1-890470A937F7,DISABLING,PASSENGER CAR,2007,NISSAN,SENTRA
B79B330D-5C75-4A92-B1DB-D229B4B3CDC2,SUPERFICIAL,PASSENGER CAR,2012,NISS,ALTIMA
1478D08A-ADEF-410C-B8A6-D14DADCA8415,FUNCTIONAL,PASSENGER CAR,2016,FORD,F150
8EFDA542-C695-4C36-A0E8-F9DFB3CDD949,UNKNOWN,,0,UNKNOWN,UNKNOWN
CE948289-7432-48DB-8A66-CC3F8E38C066,DISABLING,PASSENGER CAR,2019,KIA,4S
AAEB20FE-7718-417E-B9C0-59D0874E69B4,SUPERFICIAL,PASSENGER CAR,2010,FORD,F150
A1E718A5-AD01-4046-974F-E0BD2736FD22,FUNCTIONAL,PASSENGER CAR,2018,TOYOTA,CAMRY
7A65789E-F70A-4F15-9E0E-6873A6D97CAA,DISABLING,PASSENGER CAR,2006,BMW,2S
